station;canton
Aadorf_/_Tänikon;TG
Acquarossa_/_Comprovasco;TI
Adelboden;BE
Aigle;VD
Altdorf;UR
Andermatt;UR
Arosa;GR
Bad_Ragaz;SG
Basel_/_Binningen;BL
Bern_/_Zollikofen;BE
Biel/Bienne;BE
Blatten,_Lötschental;VS
Buchs_/_Aarau;AG
Buffalora;GR
Bullet_/_La_Frétaz;VD
Chasseral;BE
Chaumont;NE
Chur;GR
Château-d'Oex;VD
Cimetta;TI
Col_du_Grand_St-Bernard;VS
Davos;GR
Delémont;JU
Disentis;GR
Ebnat-Kappel;SG
Einsiedeln;SZ
Elm;GL
Engelberg;OW
Evolène_/_Villa;VS
Fahy;JU
Fribourg_/_Posieux;FR
Genève_/_Cointrin;GE
Glarus;GL
Grimsel_Hospiz;BE
Grono;GR
Grächen;VS
Gstaad;BE
Gütsch,_Andermatt;UR
Güttingen;TG
Hallau;SH
Hinterrhein;GR
Hörnli;ZH
Interlaken;BE
Jungfraujoch;BE
Koppigen;BE
La_Brévine;NE
La_Chaux-de-Fonds;NE
La_Dôle;VD
Langnau_i.E.;BE
Le_Moléson;FR
Locarno_/_Monti;TI
Lugano;TI
Luzern;LU
Lägern;ZH
Magadino_/_Cadenazzo;TI
Meiringen;BE
Montana;VS
Napf;LU
Neuchâtel;NE
Nyon_/_Changins;VD
Passo_del_Bernina;GR
Payerne;VD
Pilatus;OW
Piotta;TI
Piz_Corvatsch;GR
Plaffeien;FR
Poschiavo_/_Robbia;GR
Pully;VD
Robièi;TI
Rünenberg;BL
S._Bernardino;GR
Salen-Reutenen;TG
Samedan;GR
Schaffhausen;SH
Scuol;GR
Segl-Maria;GR
Sion;VS
St._Gallen;SG
Sta._Maria,_Val_Müstair;GR
Stabio;TI
Säntis;AI
Ulrichen;VS
Vaduz;FLI
Visp;VS
Weissfluhjoch;GR
Wynau;BE
Wädenswil;ZH
Zermatt;VS
Zürich_/_Affoltern;ZH
Zürich_/_Fluntern;ZH
Zürich_/_Kloten;ZH
